class_index,review_text
2,at the right time in the history of our country
3,of the best silly horror movies
2,of tragedies
2,a glass
2,the fly -- like between lunch breaks for Shearer 's radio show
0,strenuously unfunny Showtime deserves the hook .
2,with the drumming routines
2,is utterly fearless as the tortured husband living a painful lie
2,wonder for ourselves if things will turn out okay
2,comedy bits
1,Wraps itself in the guise of a dark and quirky comedy
2,think about percentages all day
2,clutches
2,Washington 's -RRB-
3,improves
1,to play one lewd scene after another
2,than in the past
2,Some writer dude
3,motivated by something more than franchise possibilities
3,the material seem genuine rather than pandering
2,Manhattan 's architecture
2,Lear 's soul-stripping breakdown
1,overshadowed by its predictability
2,which amounts to much of a story
3,many good ideas
0,the hastily and amateurishly
2,that by the end
2,bathos and pathos
2,solo performance
2,handles the nuclear crisis sequences evenly but
2,marginally
2,Garcia and
2,the 1991 dog Rover
2,were here
2,to each other and themselves
2,table
1,'s a conundrum not worth solving
2,with a chastity belt
1,hard-driving narcissism is a given
2,military system
2,after eating a corn dog and an extra-large cotton candy
2,traditional thriller
3,This story of a determined woman 's courage to find her husband in a war zone offers winning performances and some effecting moments .
2,the final whistle
3,Sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people .
0,You Thought Was Going To Be Really Awful
1,stuffiest cinema goers
0,this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars Hugh Grant and Sandra Bullock .
1,to begrudge anyone for receiving whatever consolation
3,'s nice
2,'s all that 's going on here
2,jock
3,of the idealistic kid who chooses to champion his ultimately losing cause
2,so large it 's Altman-esque
0,That regurgitates and waters down many
3,delighted simply to spend more time with familiar cartoon characters
2,average action film
3,in the best Irish sense
0,This is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .
1,substandard
1,-LRB- and fairly unbelievable -RRB-
1,through worn-out material
2,` Matrix ' -
2,a quest story
2,of an Alice
1,replaced by romance-novel platitudes
3,to the integrity and vision of the band
2,that would be foreign in American teen comedies
1,to insulting the intelligence of anyone who has n't been living under a rock
1,films which will cause loads of irreparable damage that years and years of costly analysis could never fix
2,Perhaps even the SLC high command
2,this cold vacuum
2,his homosexuality
2,about Bad Company
2,opinion
2,breathes
1,wrong with that
2,drink from a woodland stream .
1,the most part a useless movie
3,comprehend it
2,slow-paced
0,finally succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .
2,bouts
3,the -LRB- opening -RRB- dance guarantees Karmen 's enthronement among the cinema 's memorable women .
2,like one of -LRB- Spears ' -RRB- music videos in content --
1,'s a Frankenstein-monster of a film that does n't know what it wants to be .
2,photographer 's
2,long time ago
1,the haphazardness of evil
2,mother deer
3,honestly nice little film
1,cruel
2,messianic bent
1,delivered dialogue and a heroine who comes across as both shallow and dim-witted .
0,ridiculous dialog
1,fails to justify the build-up .
4,'s sharply comic and surprisingly touching
3,have captured the chaos of an urban conflagration with such fury
2,any recreational drug on the market
1,may strain adult credibility
0,An annoying orgy of excess and exploitation that has no point and goes nowhere
2,Whether Quitting will prove absorbing to American audiences is debatable .
1,have been titled ` The Loud and the Ludicrous '
2,forget most of the film 's problems
2,book films
3,the story to actually give them life
2,loose ends
2,Smokey Robinson
2,from dyslexia
2,tells us in his narration that ` this is a story without surprises
0,stuck in a dark pit having a nightmare about bad cinema
2,may be waiting for us at home
1,frustrated
2,Shipping
2,camera work
2,equal parts
3,to eat popcorn
4,is a riot
2,to fit in any modern action movie
1,leaves Blue Crush waterlogged
2,a taunt - a call for justice for two crimes from which many of us have not yet recovered
1,The movie does n't add anything fresh to the myth .
2,your ABC 's
3,it provides a fresh view of an old type
1,really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets
3,gets the job done .
4,liked this film a lot
1,there was any doubt that Peter O'Fallon did n't have an original bone in his body
2,Home is so slight
4,increasingly diverse French director
2,to shake the feeling that it was intended to be a different kind of film
1,annoying specimen
2,a pulpy concept
2,sits behind his light meter and harangues
0,play like the worst kind of Hollywood heart-string plucking
2,this year 's version of Tomcats
3,soulful
2,other flicks
2,it could have been as a film
2,all have big round eyes and Japanese names
4,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !
2,the fact remains that a wacky concept does not a movie make .
1,hang a soap opera on
3,most positive comment
3,having an old friend for dinner '
2,boiling
2,lawn
2,through the eyes of some children who remain curious about each other against all odds
3,like having an old friend for dinner '
2,Private Ryan
3,Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .
2,downhill as soon
4,is simply no doubt that this film asks the right questions at the right time in the history of our country
3,improvise and scream
2,love and terrorism
2,super - violent
2,Too smart to ignore but a little too smugly superior to like
3,comic barbs
2,the transparent attempts at moralizing
3,The Last Kiss
3,funnier version of the old Police Academy flicks
3,the point of real interest - --
3,otherwise delightful
2,verges
2,explicit detail
2,of this imagery as the movie 's set
3,the high standards of performance
2,animated-movie
3,it 's all bluster -- in the end it 's as sweet as Greenfingers
3,to the courage of New York 's finest and a nicely understated expression of the grief
1,screaming but yawning
2,real subject
3,reveals how we all need a playful respite from the grind to refresh our souls
2,something poignant
2,themes
2,female and single
3,limited but enthusiastic
2,looking and
0,Its audacious ambitions sabotaged by pomposity
1,has not spawned a single good film
2,mainstream audience
2,florid but
3,just what this strenuously unconventional movie is supposed to be
2,Magnolia
3,clear sense
2,pithy
2,The town
2,supernatural mystery
1,just lapses into unhidden British
2,single woman
2,animatronic display
3,flickering reminders of the ties that bind us
2,all-out villain
2,lends -LRB- it -RRB- stimulating depth
2,source material movie
1,churns up not one but two flagrantly fake thunderstorms to underscore the action
2,Just when you think that every possible angle has been exhausted by documentarians
1,it is and its comedy is generally mean-spirited
1,Robert Altman 's lesser works
3,a Disney pic
3,the rare trick of recreating
3,be commended for taking a fresh approach to familiar material
2,C'mon
2,A little objectivity could have gone a long way .
4,brilliantly
3,such a clever adaptation
3,followed through on her defiance of the saccharine
4,what 's best about Drumline is its energy
3,clearly well-intentioned
1,our infantilized culture that is n't entirely infantile
2,Pascale
4,undeniably intriguing film
2,snapshot
2,political ramifications
2,the requisite faux-urban vibe and hotter-two-years-ago rap and R&B names and references
2,do n't have to
3,will break your heart many times over .
4,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .
3,as a conversation starter
2,Dogtown and
1,outdated clothes and plastic knickknacks
2,breezy and amateurish
2,of Runteldat
2,'re likely to see all year
2,cavorting in ladies ' underwear
1,weird little movie
2,in knowing full well what 's going to happen
2,Doyle
2,like a fourteen-year old Ferris Bueller
3,tidal
2,see strange young guys
3,of awakening and ripening
2,meanderings
2,in those moments where it 's supposed to feel funny and light
3,good for this sucker
2,fervently in humanity that it feels almost anachronistic
2,about environmental pollution ever made
2,favor of old ` juvenile delinquent ' paperbacks with titles
2,a big job
3,a comedic moment
2,Zaza 's extended bedroom sequence
2,a fancy table
2,thought I was too hard on `` The Mothman Prophecies ''
2,necessary
2,anything on display
3,will leave you wondering about the characters ' lives after the clever credits roll
2,Tony Hawk
3,a bilingual charmer
2,farcical
2,The film favors the scientific over the spectacular -LRB- visually speaking -RRB- .
3,A pleasant piece
1,wobbly premise work
2,byways
2,Slackers '
1,Blair Witch video-cam footage
2,emotion
3,recommend it
1,not-so-hot
0,The sheer dumbness of the plot -LRB- other than its one good idea -RRB- and the movie 's inescapable air of sleaziness get you down .
2,too-hot-for-TV
2,descend upon Utah each
1,becomes increasingly implausible as it races
4,of creative belly laughs
2,rotoscope animation
3,great American adventure
2,British cast
